State,City,pop,crime
ALABAMA,Mountain Brook,"21,486",14
ALABAMA,Muscle Shoals,"17,501",32
ALABAMA,New Brockton,"1,521",2
ALABAMA,New Hope,"2,939",1
ALABAMA,New Site,766,0
ALABAMA,Newton,"1,659",3
ALABAMA,Newville,562,1
ALABAMA,North Courtland,493,0
ALABAMA,Notasulga,861,3
ALABAMA,Odenville,"5,495",18
ALABAMA,Ohatchee,"1,211",7
ALABAMA,Oneonta,"7,013",13
ALABAMA,Opelika,"34,448",193
ALABAMA,Opp,"6,760",15
ALABAMA,Orange Beach,"8,673",31
ALABAMA,Owens Cross Roads,"3,022",3
ALABAMA,Oxford,"22,074",32
ALABAMA,Ozark,"14,350",63
ALABAMA,Parrish,967,17
ALABAMA,Pelham,"25,419",42
ALABAMA,Pell City,"14,250",42
ALABAMA,Phenix City,"38,323",298
ALABAMA,Pickensville,540,0
ALABAMA,Piedmont,"4,681",50
ALABAMA,Pinckard,595,1
ALABAMA,Pine Hill,699,5
ALABAMA,Pisgah,692,0
ALABAMA,Pleasant Grove,"9,341",15
ALABAMA,Powell,928,1
ALABAMA,Prattville,"39,818",90
ALABAMA,Priceville,"3,887",5
ALABAMA,Prichard,"18,672",118
ALABAMA,Ragland,"1,708",12
ALABAMA,Rainbow City,"10,362",9
ALABAMA,Rainsville,"5,849",1
ALABAMA,Ranburne,435,2
ALABAMA,Red Bay,"3,168",7
ALABAMA,Reform,"1,442",3
ALABAMA,Repton,226,0
ALABAMA,Riverside,"2,279",6
ALABAMA,Roanoke,"5,411",42
ALABAMA,Robertsdale,"7,658",14
ALABAMA,Rogersville,"1,420",3
ALABAMA,Russellville,"10,679",12
ALABAMA,Saraland,"16,505",14
ALABAMA,Sardis City,"1,778",2
ALABAMA,Satsuma,"6,880",11
ALABAMA,Scottsboro,"15,960",32
ALABAMA,Selma,"16,299",101
ALABAMA,Semmes,"6,105",44
ALABAMA,Sheffield,"9,280",48
ALABAMA,Silverhill,"1,037",5
ALABAMA,Slocomb,"2,149",0
ALABAMA,Snead,"1,044",1
ALABAMA,Somerville,823,1
ALABAMA,Southside,"9,638",10
ALABAMA,Spanish Fort,"11,199",10
ALABAMA,Springville,"5,381",9
ALABAMA,Steele,"1,003",0
ALABAMA,Stevenson,"1,981",7
ALABAMA,St. Florian,733,0
ALABAMA,Sulligent,"1,817",3
ALABAMA,Sumiton,"2,513",1
ALABAMA,Summerdale,"1,608",14
ALABAMA,Susan Moore,804,0
ALABAMA,Sylacauga,"12,109",68
ALABAMA,Sylvania,"1,813",0
ALABAMA,Talladega,"14,590",79
ALABAMA,Tallassee,"4,742",50
ALABAMA,Taylor,"2,324",0
ALABAMA,Thomaston,316,0
ALABAMA,Thomasville,"3,543",11
ALABAMA,Thorsby,"2,175",1
ALABAMA,Town Creek,"1,065",2
ALABAMA,Trafford,584,0
ALABAMA,Triana,"5,085",3
ALABAMA,Trinity,"2,581",1
ALABAMA,Troy,"17,894",87
ALABAMA,Trussville,"26,964",37
ALABAMA,Tuscaloosa,"113,834",630
ALABAMA,Tuscumbia,"9,208",6
ALABAMA,Tuskegee,"8,582",71
ALABAMA,Union Springs,"3,097",27
ALABAMA,Uniontown,"1,921",7
ALABAMA,Valley,"10,241",39
ALABAMA,Vance,"2,310",9
ALABAMA,Vernon,"1,825",2
ALABAMA,Vestavia Hills,"37,658",31
ALABAMA,Warrior,"3,177",14
ALABAMA,Weaver,"3,327",9
ALABAMA,Wedowee,751,6
ALABAMA,West Blocton,"1,181",4
ALABAMA,Wetumpka,"7,249",12
ALABAMA,Winfield,"4,872",6
ALABAMA,Woodstock,"1,614",13
ALABAMA,York,"2,277",4
ALASKA,Anchorage,"286,958","2,912"
ALASKA,Bethel,"6,280",104
ALASKA,Bristol Bay Borough,856,7
ALASKA,Cordova,"2,171",5
ALASKA,Craig,"1,042",3
ALASKA,Dillingham,"2,088",7
ALASKA,Fairbanks,"31,676",221
ALASKA,Homer,"6,212",13
ALASKA,Juneau,"31,612",170
ALASKA,Kenai,"7,851",18
ALASKA,Ketchikan,"8,050",29
ALASKA,Kodiak,"5,289",14
ALASKA,Nome,"3,621",30
ALASKA,North Pole,"2,490",7
ALASKA,North Slope Borough,"10,564",63
ALASKA,Palmer,"6,533",10
ALASKA,Petersburg,"3,465",7
ALASKA,Seward,"2,734",7
ALASKA,Sitka,"8,306",15
ALASKA,Skagway,"1,061",2
ALASKA,Soldotna,"4,654",4
ALASKA,Unalaska,"4,204",5
ALASKA,Valdez,"3,859",5
ALASKA,Wasilla,"10,240",46
ALASKA,Wrangell,"2,062",1
ARIZONA,Apache Junction,"41,994",179
ARIZONA,Avondale,"94,911",351
ARIZONA,Bisbee,"5,019",5
ARIZONA,Buckeye,"114,513",191
ARIZONA,Bullhead City,"43,923",200
ARIZONA,Camp Verde,"12,597",23
ARIZONA,Casa Grande,"67,317",276
ARIZONA,Chandler,"281,117",375
ARIZONA,Chino Valley,"14,059",11
ARIZONA,Clarkdale,"5,061",1
ARIZONA,Colorado City,"2,826",9
ARIZONA,Coolidge,"20,276",62
ARIZONA,Cottonwood,"13,441",30
ARIZONA,Douglas,"15,359",12
ARIZONA,El Mirage,"35,815",137
ARIZONA,Eloy,"19,594",95
ARIZONA,Flagstaff,"76,433",354
ARIZONA,Florence,"23,354",28
ARIZONA,Fredonia,"1,299",0
ARIZONA,Gilbert,"277,527",367
ARIZONA,Glendale,"255,512","1,248"
ARIZONA,Globe,"7,156",58
ARIZONA,Goodyear,"116,892",213
ARIZONA,Jerome,459,2
ARIZONA,Kingman,"36,187",80
ARIZONA,Lake Havasu City,"59,898",213
ARIZONA,Litchfield Park,"6,881",7
ARIZONA,Marana,"60,507",70
ARIZONA,Maricopa,"75,614",170
ARIZONA,Mesa,"513,585","2,479"
ARIZONA,Nogales,"19,686",45
